unique_line,total_occurrences
change the manager of the licensed business - From: Saikou Boiro To: Douglas Runge.,5
of Officers/Directors.,5
petitioned to add officer Jandi Gamboa and Cynthia Sliva.,5
restaurant.,5
(Chairwoman Joyce voted No Violation),4
02135 has petitioned to change the corporate name From: Starbuck’s Coffee Company To:,4
1  FRANKLIN ST,4
"1 Harborside Dr., East Boston, MA 02128",4
"1. AHF Speedway Holdings, LLC",4
1. Notch Brighton Tap Room LLC,4
"1. Old Trafford, Inc.",4
"1. Sodexo Operations, LLC",4
1. The Boston Leco Corp.,4
"10 Old Colony Av., South Boston, MA 02127",4
10.,4
"1001 Boylston St, Boston, MA 02215",4
10:00 PM.,4
12.,4
13.,4
"1301-1305 Boylston St, Boston, MA 02215",4
138 s. 34.,4
"138 s. 64, ch. 265 s. 15A.",4
"151 Tremont St., Boston, MA 02111",4
"175 Tremont St., Boston, MA 02111",4
"2 Avenue de Lafayette, Boston, MA 02111",4
2. Old Colonial Corporation,4
2. The Boston Leco Corp.,4
"225 Franklin St., Boston, MA 02110",4
"232 Old Colony Ave, South Boston, MA 02127",4
"271 Meridian St., East Boston, MA 02128",4
"3. Big Night Venues Boston 2, LLC",4
3. The Boston Leco Corp.,4
"300 Faneuil Hall Marketplace, Boston, MA 02109",4
"306 Northern Ave., Boston, MA 02210",4
"39 Dalton St., Boston, MA 02116",4
"4. Concorde Entertainment, Inc.",4
"4. Fuente Cleaning Services, Inc.",4
"4. Gsth Investment Group, LLC",4
"40 Trinity Place, Boston, MA 02116",4
"401 Park Drive, Boston, MA 02215",4
"45 Fairmount Ave., Hyde Park, MA 02136",4
"47 Farnsworth St., Boston, MA 02210",4
"5. Paga, Inc.",4
"527 Tremont St, Boston, MA 02116",4
"53 Huntington Ave., Boston, MA 02199",4
"6. Paga, Inc.",4
"61 Brookline Ave., Boston, MA 02215",4
"64, ch. 265 s. 13A.",4
"7. Massachusetts Sportservice, Inc.",4
"70 Pier 4 Blvd, Boston, MA 02210",4
"700 Atlantic Ave., Boston, MA 02110",4
"8. Aya Pizza, LLC",4
"85  Northern Ave., Boston, MA  02210",4
"89 Broad St., Boston, MA 02110",4
"90 Causeway St., Boston, MA 02114",4
9:00 PM.,4
All Alcohol.,4
All Special One Day Licenses have been granted,4
Anglade,4
Antonio Alicea.,4
Attorney:  Alec Bonelli,4
Attorney:  Chase Liu,4
Attorney:  Chung H. Lee,4
Attorney:  Elizabeth A. Lashway,4
Attorney:  Lesley Delaney Hawkins,4
Attorney:  Mark A. Evlogiadis,4
Attorney:  Michael P. Ross,4
Attorney:  Nicholas Zozula,4
Attorney:  Patricia A. Malone,4
Attorney:  William Burke,4
Attorney:  Zachary Luczyk,4
Attorney: Albert A. Denapoli,4
Attorney: Chase Liu,4
Attorney: John M. Mooradian,4
Attorney: Joseph P. Hanley,4
Attorney: Marguerite Roberts,4
Attorney: Mark A. White,4
Attorney: Paul J. Gannon,4
Attorney: Thomas T. Truax,4
"BOSTON, MA 02116",4
"BOSTON, MA 02210",4
"Boston, MA 02116",4
"Boston, MA 02118",4
CORRESPONDENCE FROM THE BOARD,4
Closing Time: 1:00AM,4
Correspondence to Licensee.,4
Cynthia Sliva.,4
DEFER PENDING COMPLETION OF COMMUNITY PROCESS,4
DEFERRED,4
DEFERRED 30 DAYS PENDING LICENSE AVAILABILITY,4
"DORCHESTER, MA  02121",4
Date: 02/24/2024,4
Date: 03/20/2022,4
Date: 04/14/2024,4
Date: 04/21/2025,4
Date: 04/29/2023,4
Date: 05/09/2025,4
Date: 07/09/2022,4
Date: 07/11/2021,4
Date: 09/08/2022,4
Date: 10/15/2023,4
Date: 10/21/2023,4
Date: 10/28/2022,4
Date: 11/12/2022,4
Date: 11/19/2023,4
Date: 12/01/2024,4
Date: 12/07/2024,4
Date: 12/11/2022,4
Date: 12/19/2021,4
Date: 12/31/2022,4
Doing business as:  Cisco Seaport,4
Doing business as: 99 Restaurant & Pub,4
Doing business as: AMC Theatres Boston Common 19,4
Doing business as: Admirals Club,4
Doing business as: B.U. Bistro,4
Doing business as: Banners Kitchen & Tap and Hub Hall featuring Momosan Ramen by Morimoto,4
Doing business as: Barcelona,4
Doing business as: Barney's Grill,4
Doing business as: Black Rose,4
Doing business as: Blue Bottle Coffee,4
Doing business as: Boston Public Market,4
Doing business as: Broken Records Beer Hall,4
Doing business as: Cafe Gigu,4
Doing business as: Caffe Nero,4
Doing business as: Calderwood Pavilion at the BCA,4
Doing business as: Cannonball Cafe,4
Doing business as: Castle Island Brewing Co.,4
Doing business as: Cisco Fenway,4
Doing business as: Clock Tavern,4
Doing business as: Diamond at Fenway,4
Doing business as: Dynasty Restaurant,4
Doing business as: E Market,4
Doing business as: Emerson College,4
Doing business as: F1 Arcade,4
Doing business as: Fresh Food Generation,4
Doing business as: Fuel America,4
Doing business as: Gordon Ramsay Burger,4
Doing business as: Guira & Tambora,4
Doing business as: Hotel Indigo Boston,4
Doing business as: Hue,4
Doing business as: Jillian's Billiards Club,4
Doing business as: Joe’s American Bar & Grill,4
Doing business as: Koy,4
Doing business as: La Fonda Colombiana,4
Doing business as: Legends,4
Doing business as: Lucky's,4
Doing business as: Mariel,4
Doing business as: Mi Pueblito Orient Heights,4
Doing business as: Momo Masala,4
Doing business as: Paradise,4
Doing business as: Ramsay's Kitchen,4
Doing business as: SPiN,4
Doing business as: Seaport Social,4
Doing business as: Serafina,4
Doing business as: Servia,4
Doing business as: Shake Shack,4
Doing business as: Silver Dove Afternoon Tea,4
Doing business as: Sissy K's,4
Doing business as: South Boston Bites,4
Doing business as: The Broadway,4
Doing business as: The Ginger Exchange,4
Doing business as: The Glass Slipper,4
Doing business as: The Mix,4
Doing business as: The Point,4
Doing business as: Trader Joe's,4
Doing business as: Turkish Lazuri Cafe,4
Doing business as: Tuscan Kitchen,4
Doing business as: Two Saints Tavern/Dos Diablos,4
Doing business as: W Boston,4
Doing business as: WNDR Museum,4
Doing business as: Westin Boston Waterfront,4
Doing business as: Zuma,4
Failure to notify police in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.14B.,4
Granted - condition: no singles,4
"Granted, with a closing hour of 1:00 AM",4
HAVE BEEN HEARD,4
Has applied for a Common Victualler 7 Day All Alcoholic Beverages License to be exercised on the,4
Has applied for a Common Victualler 7 Day Malt & Wine License to be exercised on the,4
Has applied for a Common Victualler License to be exercised at a previously licensed location:,4
Has applied for a Common Victualler License to be exercised at a previously licensed location‑,4
"Has applied for a Common Victualler License to be exercised at a previously licensed location‑1,200SF",4
Has applied for a Lodging House License to be exercised on the above -4-story building with 3 rooms,4
Has applied for a Retail Package Store Wines and Malt Beverages License to be,4
Has applied for a one day amendment to existing license to include the contiguous space that is the,4
"Hearing Date: April 30, 2025",4
"Hearing Date: January 8, 2025",4
"Hearing Date: July 16, 2025",4
Holder of Club All-Alcoholic Beverages License has petitioned to change the manager of the licensed,4
Holder of a Club All-Alcoholic Beverages License has petitioned for a change of,4
Holder of a Club All-Alcoholic Beverages License has petitioned to change the manager of the licensed,4
Holder of a Common Victualler 7 Day (Neighborhood Restricted) All-Alcoholic Beverages License has,4
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to transfer the license,4
Holder of a Common Victualler 7 Day All-Alcoholic Beverages license has petitioned to change the,4
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to amend the,4
Holder of a Common Victualler License has petitioned to amend the closing hour of the licensed business,4
Holder of a Common Victualler License has petitioned to change the DBA of the licensed,4
Holder of a Lodging House License has applied for a Change of Manager From: Kevin Kelly To:,4
Holder of a Retail Package Store All Alcoholic Beverages License has petitioned for a,4
Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned for a Change of,4
Holder of a Retail Package Store Malt and Wine License has petitioned for a change of,4
Holder of an (Airport) Common Victualler 7 Day Wines and Malt Beverages License has petitioned,4
Holder of an Innholder All Alcoholic Beverages License has petitioned to change the manager of the,4
Holder of an Innholder All-Alcoholic Beverages License has petitioned to change the,4
Hours of Operation:  7:00 AM to 5:00 PM,4
Hours of Operation:  7:00 AM to 8:00 PM,4
Hours of Operation:  8:00 AM to 8:00 PM,4
Hours of Operation: 10:00 AM to 12:00 AM,4
Interest.,4
Jenks (51%) & Dominic Benvenuti (49%),4
Keeana Saxon,4
LICENSE APPLICATIONS UNTIL ALL APPLICATIONS RECEIVED BY DECEMBER 6,4
LLC Manager.,4
"LOGAN AIRPORT, TERMINAL B",4
License #:  LB-101659,4
License #:  LB-98890,4
License #:  LB-99425,4
License #:  LB-99445,4
License #: LB-101620,4
License #: LB-101650,4
License #: LB-396066,4
License #: LB-485388,4
License #: LB-98896,4
License #: LB-98974,4
License #: LB-98992,4
License #: LB-99166,4
License #: LB-99223,4
License #: LB-99274,4
License #: LB-99282,4
License #: LB-99306,4
License #: LB-99379,4
License #: LB-99401,4
License #: LB-99404,4
Licensee failed to appear - to be rescheduled to the next available hearing date,4
"Location: 1 Marina Park Dr., Boston, MA 02210",4
"Location: 100  Warrenton St Boston, MA  02116",4
"Location: 13 ‑ 15 Meridian St East Boston, MA 02128",4
"Location: 14 ‑ 20 Linden St Allston, MA 02134",4
"Location: 147  Hanover St Boston, MA  02108",4
"Location: 184  High St Boston, MA  02110",4
"Location: 25 Northern Ave., Boston, MA 02210",4
"Location: 30  Bennington St East Boston, MA  02128",4
"Location: 388 Washington St Brighton, MA 02135",4
"Location: 425 W Broadway  South Boston, MA  02127",4
"Location: 45 ‑ 55  Union St Boston, MA  02108",4
"Location: 51 Stuart St Boston, MA 02116",4
"Location: 580 ‑ 582  Dorchester Av South Boston, MA  02127",4
"Location: 85  Causeway St Boston, MA  02114",4
"Location: 96 ‑ 98  Brookline Ave Boston, MA  02215",4
"M.G.L. ch. 138 s. 64 and Board's rule 1.03J, 1.06A, F.",4
Manager:  Edward Guerrero,4
Manager:  Nicholas Mitchell,4
Manager: Alyssa DiPasquale,4
Manager: Carla Gomes,4
Manager: Jacqueline Genao,4
Manager: Mark Pesce,4
Manager: Mohammad Sadiq,4
Manager: Victoria Pitula,4
Manager:Michael Minichello,4
Monica Juscen,4
No violation.,4
"Notice: Assault and battery employee on patron in violation of M.G.L. ch. 138 s. 64,",4
"Notice: Assault and battery on premise in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",4
Notice: Failure to notify police in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.14B.,4
Officers/Directors/LLC Managers of the corporation.,4
RE-SCHEDULED,4
"ROSLINDALE, MA  02131",4
"Roxbury, MA 02119",4
The Board also granted the issuance of a temporary Common Victualler License pending,4
"The Board deferred the following to allow for completion of the community process, which has",4
"The Board requests submission of a written plan to manage the impact of takeout, delivery,",4
The Board voted to approve a Community Space All Alcoholic Beverages License,4
The Board voted to approve a Zip Code restricted All Alcoholic Beverages License on the,4
Violation,4
Violation - 1-Day Suspension,4
Violation - Correspondence from the Board,4
Withdrawn by the applicant,4
Written Warning,4
____________________________________________________________________________________,4
_______________________________________________________________________________________________________,4
"alcohol, or changes to the floorplan on file with the Board, without Board approval.",4
and third party app-based delivery services,4
category of the licensed business –From: a Retail Package Store Wines and Malt Beverages License,4
ch. 138 s. 12 to trade in said license and be issued a non-transferable all alcoholic beverages license.,4
"ch. 138 s. 64 and Board's rule 1.03J, 1.06A, F.",4
ch. 265 s. 13D.,4
change of Officers/Directors.,4
change of Officers/Directors/LLC Manager.,4
condition that the Licensee surrenders the existing Wines and Malt Beverages with Liqueurs,4
"dedicated to alcohol, or changes to the floorplan on file with the Board, without Board approval.",4
"floorplan on file with the Board, without Board approval.",4
in Chapter 481 of the Acts of 1993.,4
in Chapter 481 of the Acts of 1994.,4
licensees regarding M.G.L. ch. 138 s. 12D (as codified by Chapter 9 of the Acts of 2025) which would,4
of Officers/Directors/LLC Managers.,4
p.m.,4
permit the Board to allow licensees permitted to sell only wines and malt beverages pursuant to M.G.L.,4
petitioned for a change of LLC Manager.,4
petitioned for a change of Officers/Directors.,4
petitioned to change the manager of the licensed business –From: David Kososki To:,4
"petitioned to transfer the license from the above - To: LSF Logan Airport, LLC d/b/a",4
previously licensed location,4
s. 64.,4
storage.,4
"the Corporation. Secondly, has petitioned for a change of Stock Interest. Lastly, has",4
"video evidence: Massachusetts Sportservice, Inc. d/b/a TD Garden, located at 100 Legends Way,",4
"violation of M.G.L. ch. 138 s. 64 and Board's rule 1.03J, 1.06A, F.",4
○,4
(Commissioner Curran voted No Violation),3
(Commissioner Curran voted for a Violation),3
"0 Rice St, East Boston, MA 02128",3
02118,3
02119,3
02135. Has petitioned to transfer the lodging house license From : GKS Northboro,3
"1 Brighton Ave., Allston, MA 02134",3
"1 Court St., Boston, MA 02108",3
"1 First Ave, Charlestown, MA 02129",3
"1 Hamilton Pl., Boston, MA 02108",3
"1 Harborside Drive, East Boston, MA 02128",3
"1 Seaport Lane, Boston, MA 02210",3
"1. Adare, Inc.",3
"1. Metro Dining, Inc.",3
"1. The Catered Affair, Inc.",3
"1.06A, F.",3
"10 Walk Hill St., Jamaica Plain, MA 02130",3
100  LEGENDS WAY,3
"100 Arlington St, Boston, MA 02116",3
"100 Huntington Ave, Boston, MA 02116",3
"100 Huntington Ave., Boston, MA 02116",3
"101 Causeway St., Boston, MA 02114",3
"11 Fan Pier Blvd., Boston, MA 02210",3
"110 Huntington Ave, Boston, MA 02116",3
11:00 PM Closing Hour.,3
"1231 Hyde Park Ave., Hyde Park, MA 02136",3
"138 s. 34A, 34C, 64‑64A.",3
13A,3
"140 Tremont St., Boston, MA 02111",3
"145 Meridian St., East Boston, MA 02128",3
"154 Maverick St, East Boston, MA 02128",3
"18 Tremont St., Boston, MA 02108",3
